y,t
157.75,39.091796875
145.875,39.09375
146.75,39.095703125
148,39.09765625
136.75,39.099609375
143.875,39.1015625
148.5,39.103515625
143.625,39.10546875
147.75,39.107421875
155.125,39.109375
158.875,39.111328125
154.25,39.11328125
154.625,39.115234375
133.625,39.1171875
112.875,39.119140625
126,39.12109375
140.125,39.123046875
147.375,39.125
124.875,39.126953125
118,39.12890625
145.75,39.130859375
146.25,39.1328125
134.25,39.134765625
141.125,39.13671875
151.25,39.138671875
140.25,39.140625
130,39.142578125
141.625,39.14453125
142.125,39.146484375
119.75,39.1484375
102.5,39.150390625
117,39.15234375
137.625,39.154296875
140.25,39.15625
132,39.158203125
134.375,39.16015625
135.5,39.162109375
116.875,39.1640625
110.125,39.166015625
115.125,39.16796875
120.375,39.169921875
128.75,39.171875
134.5,39.173828125
118,39.17578125
104.375,39.177734375
99.5,39.1796875
95.625,39.181640625
108,39.18359375
116.125,39.185546875
127.5,39.1875
137.5,39.189453125
127.125,39.19140625
117.5,39.193359375
106,39.1953125
107.125,39.197265625
124.375,39.19921875
103.625,39.201171875
79.125,39.203125
100.25,39.205078125
111.625,39.20703125
105.625,39.208984375
106.25,39.2109375
116,39.212890625
111.625,39.21484375
99.375,39.216796875
110,39.21875
124.5,39.220703125
127.5,39.22265625
117,39.224609375
116.375,39.2265625
123.5,39.228515625
122.625,39.23046875
134,39.232421875
159.375,39.234375
147.875,39.236328125
118.875,39.23828125
129.5,39.240234375
130.875,39.2421875
112.125,39.244140625
123.25,39.24609375
127.125,39.248046875
118.625,39.25
122.75,39.251953125
119.5,39.25390625
128.875,39.255859375
126.875,39.2578125
95.875,39.259765625
88.25,39.26171875
103,39.263671875
125.5,39.265625
136.375,39.267578125
124,39.26953125
107.125,39.271484375
84.75,39.2734375
81.125,39.275390625
106.875,39.27734375
122.625,39.279296875
113.25,39.28125
105,39.283203125
103.75,39.28515625
110.75,39.287109375
114.75,39.2890625
102.625,39.291015625
113,39.29296875
107,39.294921875
84.625,39.296875
91.625,39.298828125
104.25,39.30078125
115,39.302734375
95.875,39.3046875
76.375,39.306640625
90.25,39.30859375
97.875,39.310546875
108.75,39.3125
135.25,39.314453125
118.25,39.31640625
91.625,39.318359375
108.5,39.3203125
114.25,39.322265625
101.25,39.32421875
99.5,39.326171875
104.75,39.328125
107.625,39.330078125
111.875,39.33203125
115.25,39.333984375
111,39.3359375
95.5,39.337890625
102.25,39.33984375
123.875,39.341796875
116.125,39.34375
115.125,39.345703125
137.75,39.34765625
146.5,39.349609375
129,39.3515625
112.625,39.353515625
108.375,39.35546875
117.625,39.357421875
115.25,39.359375
104.75,39.361328125
102.625,39.36328125
100.25,39.365234375
104.875,39.3671875
109.875,39.369140625
117.875,39.37109375
128.25,39.373046875
126.625,39.375
117.125,39.376953125
115.25,39.37890625
111.5,39.380859375
115.125,39.3828125
127.125,39.384765625
126.25,39.38671875
116.125,39.388671875
120.25,39.390625
126.625,39.392578125
109.875,39.39453125
104.875,39.396484375
114.875,39.3984375
108,39.400390625
115.875,39.40234375
121.75,39.404296875
104.5,39.40625
123.375,39.408203125
124.5,39.41015625
99.75,39.412109375
97.875,39.4140625
105.375,39.416015625
119.375,39.41796875
110.375,39.419921875
97.75,39.421875
113.125,39.423828125
119.75,39.42578125
123.375,39.427734375
141.25,39.4296875
125.125,39.431640625
90,39.43359375
106.375,39.435546875
123.25,39.4375
94.125,39.439453125
80,39.44140625
106.25,39.443359375
131.25,39.4453125
137.125,39.447265625
129.5,39.44921875
125.125,39.451171875
127.25,39.453125
131.875,39.455078125
146.25,39.45703125
145.875,39.458984375
126.875,39.4609375
132.75,39.462890625
137.25,39.46484375
114.625,39.466796875
122.25,39.46875
107.5,39.470703125
103.125,39.47265625
138.125,39.474609375
123.75,39.4765625
100.875,39.478515625
100.375,39.48046875
100.25,39.482421875
95.75,39.484375
92.375,39.486328125
79.5,39.48828125
66,39.490234375
76.125,39.4921875
96.75,39.494140625
107.875,39.49609375
99,39.498046875
99.125,39.5
106.375,39.501953125
108.5,39.50390625
126.375,39.505859375
144,39.5078125
142.25,39.509765625
120.75,39.51171875
109,39.513671875
105.875,39.515625
99.25,39.517578125
112.875,39.51953125
125.125,39.521484375
119.75,39.5234375
125.75,39.525390625
128.375,39.52734375
87.375,39.529296875
74.25,39.53125
104.625,39.533203125
112,39.53515625
